"","ENSEMBL","log2FoldChange","padj"
"462","ENSMUSG00000097251",0.0046,0.99947907438902
"463","ENSMUSG00000026269",0.036,0.987935224314068
"464","ENSMUSG00000100632",0.0171,0.991157300355586
"465","ENSMUSG00000026270",-0.047,0.982193673313513
"466","ENSMUSG00000026271",0.0026,0.99947907438902
"467","ENSMUSG00000014602",-0.1299,0.753060147460264
"468","ENSMUSG00000084989",-0.0037,0.99947907438902
"469","ENSMUSG00000047793",0.0209,0.995252237345488
"470","ENSMUSG00000026273",0.0133,0.99947907438902
"471","ENSMUSG00000026274",0.007,0.995100954322104
"472","ENSMUSG00000026275",-0.011,0.99947907438902
"473","ENSMUSG00000034088",-0.0691,0.843811755589105
"474","ENSMUSG00000026276",0.0074,0.995391456002029
"475","ENSMUSG00000034066",-0.0016,0.99947907438902
"476","ENSMUSG00000103854",0.0115,0.708470706867553
"477","ENSMUSG00000026277",-0.012,0.99947907438902
"478","ENSMUSG00000026278",-1.6602,0.0112751966222967
"479","ENSMUSG00000026279",0.0039,0.99947907438902
"480","ENSMUSG00000026280",-0.0777,0.928957868860124
"481","ENSMUSG00000026281",0.054,0.947477901421889
"482","ENSMUSG00000026283",0.0163,0.992044291691764
"483","ENSMUSG00000073609",0.0267,0.991109012709707
"484","ENSMUSG00000034000",-0.0188,0.746961000571657
"485","ENSMUSG00000100347",0.0151,0.99224064201754
"486","ENSMUSG00000051185",-0.1375,0.70410908858313
"487","ENSMUSG00000103973",5e-04,0.99947907438902
"488","ENSMUSG00000081051",-0.0129,0.99598269142179
